"My Cart","Корзина"
"item","товар"
"items","товар(ов)"
"item","товар"
"items","товара",
"items2","товаров"
"Cart Subtotal:","Стоимость товаров:"
"Recently added item(s):","Недавно добавленные товары:"
"You have no items in your shopping cart.", "Ваша корзина пуста."
"Edit item","Редактировать товар"
"Remove item","Удалить товар"
"Checkout order","Оформить заказ"
"Welcome, %1!","Привет, %1!"
"My Account","Мой профиль"
"My Wish List","Избранное"
"Checkout","Оформление заказа"
"Sign In","Войти"
"Sign Out","Выйти"
"Search","Найти"
"There is <a href='%1'>%2</a> in your cart.","В вашей корзине <a href='%1'>%2</a>."
"There are <a href='%1'>%2</a> in your cart.","В вашей корзине <a href='%1'>%2</a>."
"Compare Products","Сравнение"
"Compare","Сравнить"
"Clear All","Очистить всё"
"You have no items to compare.","У вас нет товаров для сравнения"
"Viewed Products","Просмотренные товары"
"Page","Страница"
"Previous","Предыдущая"
"Next","Следующая"
"Show","Показывать"
"Add to Cart","Добавить в корзину"
"Adding...","Добавляем..."
"Add to Wishlist","Добавить в избранное"
"Remove from Wishlist","Удалить из избранного"
"Add to Compare","Добавить в сравнение"
"Remove from Compare","Удалить из сравнения"
"Loading..","Загрузка.."
"Free shipping on orders over $499.","Бесплатная доставка для заказов от $499."
"This offer is valid on all our store items.","Предложение действует на все товары в нашем каталоге."
"Information","Информация"
"Privacy Policy","Политика конфиденциальности"
"Search Terms","Поиск по тегам"
"Advanced Search","Расширенный поиск"
"Orders and Returns","Заказы и возвраты"
"Contact Us","Обратная связь"
"Why buy from us","Почему надо покупать у нас"
"About Us","О нас"
"Shipping","Доставка"
"Affiliates","Партнёры"
"Group Sales","Групповые покупки"
"Newsletter","Рассылка"
"Sign Up for Our Newsletter:","Подписывайтесь на наши новости:"
"Subscribe","Подписаться"
